pitch,nbb,n_fingers,efficiency,total_loss,nodes
2.2,8,82,31.39820147706627,1.041679504428224,82923
2.6,8,69,31.38591695897435,1.1006541838431607,80657
2.4,8,75,31.39545468191118,1.0707874180524795,83665
2.8,8,64,31.368435762849284,1.1331382075394159,82633
2.4,10,75,31.380362314050586,1.0519993618321202,81423
2.2,10,82,31.384362016986888,1.030541016228405,82921
3.0,8,60,31.350794351190007,1.168137652732299,80781
2.6,10,69,31.375588123488836,1.0797817657729505,83915
2.8,10,64,31.368296358761913,1.1019854508323932,81379
3.0,10,60,31.347690507588503,1.1362620525104308,83799
