recovery,nbb,n_fingers,efficiency,Eff_base,raw_bb,nodes
0.0,6,82,31.300401894257295,31.300401894257295,0.006533993479048423,81933
0.0,8,82,31.32996488165442,31.32996488165442,0.0087119913053979,82923
0.0,10,82,31.29915016570253,31.29915016570253,0.010889989131747376,82921
0.0,12,82,31.239918338868566,31.239918338868566,0.013067986958096847,84991
0.25,6,82,31.351531049724464,31.300401894257295,0.006533993479048423,81933
0.25,8,82,31.39820147706627,31.32996488165442,0.0087119913053979,82923
0.25,10,82,31.384362016986888,31.29915016570253,0.010889989131747376,82921
0.25,12,82,31.34197905022465,31.239918338868566,0.013067986958096847,84991
0.37,6,82,31.376073044348704,31.300401894257295,0.006533993479048423,81933
0.37,8,82,31.430955042863957,31.32996488165442,0.0087119913053979,82923
0.37,10,82,31.42526370560338,31.29915016570253,0.010889989131747376,82921
0.37,12,82,31.390968191675572,31.239918338868566,0.013067986958096847,84991
