run,w_f_um,pitch_mm,n_fingers,nodes,axis,est_min_linear
A,20,0.35,519,365085,40,88.4
A,20,0.60,302,216899,40,52.5
A,20,1.00,181,117535,40,28.5
A,20,1.60,113,87535,40,21.2
A,45,0.35,519,365085,40,88.4
A,45,0.60,302,216899,40,52.5
A,45,1.00,181,117535,40,28.5
A,45,1.60,113,87535,40,21.2
A,80,0.35,519,365085,40,88.4
A,80,0.60,302,216899,40,52.5
A,80,1.00,181,117535,40,28.5
A,80,1.60,113,87535,40,21.2
B,20,0.90,201,147725,40,35.8
B,20,1.40,129,98433,40,23.8
B,20,2.10,86,80479,56,19.5
B,20,3.00,60,81869,88,19.8
B,45,0.90,201,147725,40,35.8
B,45,1.40,129,98433,40,23.8
B,45,2.10,86,80479,56,19.5
B,45,3.00,60,81869,88,19.8
B,80,0.90,201,147725,40,35.8
B,80,1.40,129,98433,40,23.8
B,80,2.10,86,80479,56,19.5
B,80,3.00,60,81869,88,19.8
