# =====================================================================
# GEDO  -  Experimental I-V input template  (EXP I-V 불러오기용)
# ---------------------------------------------------------------------
# 사용법: GUI 에서 "EXP I-V" 버튼 -> 이 파일(또는 같은 양식의 CSV) 선택
#         -> COMPARE 탭을 누르면 시뮬레이션 곡선 위에 검은 점으로 겹쳐 표시.
#
# 양식 규칙 (파서 기준):
#   1) '#' 로 시작하는 줄 = 주석(무시), 빈 줄도 무시됩니다.
#   2) 주석을 뺀 "첫 줄"은 헤더로 간주되어 건너뜁니다(아래 'V,J' 줄).
#   3) 구분자는 자동 감지: 쉼표(,) > 탭 > 공백.
#   4) 1열 = 전압 V  [단위: Volt]
#      2열 = 전류밀도 J [단위: mA/cm^2]   (3열 이후는 무시)
#   5) 측정 I 가 전류(A/mA)면 셀 면적으로 나눠 J [mA/cm^2] 로 변환해 넣으세요.
#
# 부호/방향 규칙 (시뮬레이션과 맞춰야 겹침이 정확함):
#   - 조명(illuminated) I-V, 1사분면 기준.
#   - V=0 에서 J = +Jsc, V=Voc 에서 J = 0  (J 는 양수, V 증가에 따라 감소).
#
# 아래는 예시 탠덤 셀 데이터(Voc~1.95V, Jsc~19.4 mA/cm^2). 본인 측정값으로 교체.
# =====================================================================
V,J
0.000,19.40
0.200,19.39
0.400,19.38
0.600,19.37
0.800,19.35
1.000,19.33
1.200,19.30
1.400,19.25
1.550,19.15
1.650,19.00
1.720,18.60
1.780,17.80
1.840,15.80
1.880,12.50
1.920,7.00
1.950,0.50
1.960,0.00
