cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,recovered_busbar_light_25,effective_busbar_shading_25,optical_loss_rec25,total_loss_rec25,scenario_label,nodes,mode,elapsed_s,timestamp
182.0,182.0,102,1.766990291262136,20.0,12,0.2,10,0.0,13.22,0.011208791208791211,0.013039004951092862,0.013039004951092862,0.0,0.7532891271853885,0.4851782721205852,1.2384673993059736,31.066292467091984,0.0032597512377732156,0.009779253713319646,0.6520207418627607,1.1371990139833459,"engine default (rho=13.22 uohm.cm, before-pressing)",80221,tandem,1069.1,2026-07-22 13:51:10
182.0,182.0,102,1.766990291262136,20.0,12,0.3,10,0.0,13.22,0.011208791208791211,0.019558507426639296,0.019558507426639296,0.0,0.949029580718213,0.44788737287273206,1.396916953590945,30.845398290032033,0.004889626856659824,0.014668880569979472,0.7982070928349033,1.2460944657076354,"engine default (rho=13.22 uohm.cm, before-pressing)",80221,tandem,1023.6,2026-07-22 14:08:14
182.0,182.0,102,1.766990291262136,20.0,16,0.2,10,0.0,13.22,0.011208791208791211,0.017385339934790488,0.017385339934790488,0.0,0.8850236869446139,0.39772072744944287,1.2827444143940567,30.951235500060587,0.004346334983697622,0.013039004951092866,0.7504992493020368,1.1482199767514796,"engine default (rho=13.22 uohm.cm, before-pressing)",82281,tandem,1164.3,2026-07-22 14:27:38
182.0,182.0,102,1.766990291262136,20.0,16,0.3,10,0.0,13.22,0.011208791208791211,0.026078009902185725,0.026078009902185725,0.0,1.1423905579494154,0.3678003267132238,1.5101908846626393,30.637934172720023,0.006519502475546431,0.019558507426639293,0.9426464702647386,1.3104467969779625,"engine default (rho=13.22 uohm.cm, before-pressing)",82281,tandem,1172.1,2026-07-22 14:47:10
182.0,182.0,102,1.766990291262136,20.0,18,0.2,10,0.0,13.22,0.011208791208791211,0.019558507426639296,0.019558507426639296,0.0,0.9489830380723459,0.3916768919422444,1.3406599300145903,30.843885559050392,0.004889626856659824,0.014668880569979472,0.798167946879071,1.1898448388213154,"engine default (rho=13.22 uohm.cm, before-pressing)",86215,tandem,1233.2,2026-07-22 15:07:43
182.0,182.0,102,1.766990291262136,20.0,18,0.3,10,0.0,13.22,0.011208791208791211,0.029337761139958944,0.029337761139958944,0.0,1.236033915900705,0.3645549876252835,1.6005889035259884,30.484316034302868,0.007334440284989736,0.022003320854969206,1.0124485203183555,1.377003507943639,"engine default (rho=13.22 uohm.cm, before-pressing)",86215,tandem,1183.5,2026-07-22 15:27:27
182.0,182.0,102,1.766990291262136,20.0,20,0.2,10,0.0,13.22,0.011208791208791211,0.021731674918488108,0.021731674918488108,0.0,1.0135915099581414,0.3695591956888101,1.3831507056469516,30.770405799411126,0.005432918729622027,0.01629875618886608,0.8464183959724505,1.2159775916612607,"engine default (rho=13.22 uohm.cm, before-pressing)",92381,tandem,1294.7,2026-07-22 15:49:01
182.0,182.0,102,1.766990291262136,20.0,20,0.3,10,0.0,13.22,0.011208791208791211,0.03259751237773216,0.03259751237773216,0.0,1.3303569763719085,0.34236083821150454,1.6727178145834132,30.369076307574634,0.00814937809443304,0.02444813428329912,1.0828678911627945,1.4252287293742991,"engine default (rho=13.22 uohm.cm, before-pressing)",92381,tandem,1269.1,2026-07-22 16:10:11
182.0,182.0,102,1.766990291262136,20.0,4,0.2,10,0.0,13.22,0.011208791208791211,0.004346334983697622,0.004346334983697622,0.0,0.46265912982435486,1.6827254535223033,2.145384583346658,29.743193600561142,0.0010865837459244055,0.0032597512377732164,0.4303406591061023,2.1130661126284056,"engine default (rho=13.22 uohm.cm, before-pressing)",83181,tandem,1342.9,2026-07-24 10:57:39
182.0,182.0,102,1.766990291262136,20.0,6,0.2,10,0.0,13.22,0.011208791208791211,0.006519502475546431,0.006519502475546431,0.0,0.5451861091584722,0.9915918640203177,1.5367779731787898,30.752317107659717,0.0016298756188866078,0.004889626856659823,0.4950636572804281,1.4866555213007457,"engine default (rho=13.22 uohm.cm, before-pressing)",84423,tandem,1260.8,2026-07-24 11:18:40
182.0,182.0,102,1.766990291262136,20.0,8,0.2,10,0.0,13.22,0.011208791208791211,0.008692669967395244,0.008692669967395244,0.0,0.617260164567101,0.7121329875732626,1.3293931521403635,31.015821356157385,0.002173167491848811,0.006519502475546433,0.5498575898629097,1.2619905774361722,"engine default (rho=13.22 uohm.cm, before-pressing)",83289,tandem,1163.2,2026-07-24 11:38:03
182.0,182.0,102,1.766990291262136,20.0,10,0.2,10,0.0,13.22,0.011208791208791211,0.010865837459244054,0.010865837459244054,0.0,0.6859749017923706,0.5732360638677098,1.2592109656600803,31.075263466863344,0.0027164593648110135,0.00814937809443304,0.6015602113338402,1.1747962752015497,"engine default (rho=13.22 uohm.cm, before-pressing)",81999,tandem,1090.5,2026-07-24 11:56:14
