cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,scenario_label,nodes,mode
39.0,39.0,38,1.0,15.0,3,0.3,0,0.0,4.22,0.014615384615384617,0.0227396449704142,0.0227396449704142,0.0,1.1318748510912398,0.6619524880331846,1.7938273391244244,30.300467263491132,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",36547,tandem
39.0,39.0,27,1.3928571428571428,20.0,3,0.3,0,0.0,4.22,0.013846153846153847,0.022757396449704145,0.022757396449704145,0.0,1.1095603070268185,0.6993568559645469,1.8089171629913654,30.31291495110448,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",35585,tandem
39.0,39.0,27,1.3928571428571428,25.0,3,0.3,0,0.0,4.22,0.01730769230769231,0.02267751479289941,0.02267751479289941,0.0,1.2092910716065879,0.6021576265902313,1.8114486981968192,30.243461502258732,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",35585,tandem
39.0,39.0,38,1.0,20.0,3,0.3,0,0.0,4.22,0.019487179487179488,0.022627218934911243,0.022627218934911243,0.0,1.2711387319180545,0.5442468965226025,1.8153856284406569,30.18299630397403,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",36547,tandem
39.0,39.0,21,1.7727272727272727,30.0,3,0.3,0,0.0,4.22,0.016153846153846154,0.02270414201183432,0.02270414201183432,0.0,1.1761778432809618,0.6490979257274476,1.8252757690084094,30.268624259857248,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",31039,tandem
39.0,39.0,21,1.7727272727272727,25.0,3,0.3,0,0.0,4.22,0.013461538461538462,0.022766272189349113,0.022766272189349113,0.0,1.0982303482581548,0.7313956611492062,1.8296260094073609,30.31456575837128,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",31039,tandem
39.0,39.0,27,1.3928571428571428,30.0,3,0.3,0,0.0,4.22,0.020769230769230772,0.022597633136094673,0.022597633136094673,0.0,1.307463263749956,0.5347880622040222,1.8422513259539781,30.148900473972233,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",35585,tandem
39.0,39.0,17,2.1666666666666665,30.0,3,0.3,0,0.0,4.22,0.01307692307692308,0.022775147928994086,0.022775147928994086,0.0,1.0868346093808088,0.7676244483858612,1.85445905776667,30.314416402930622,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",27877,tandem
39.0,39.0,27,1.3928571428571428,15.0,3,0.3,0,0.0,4.22,0.010384615384615386,0.022837278106508874,0.022837278106508874,0.0,1.0075608335722845,0.8540606188669695,1.861621452439254,30.328218162564085,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",35585,tandem
39.0,39.0,21,1.7727272727272727,20.0,3,0.3,0,0.0,4.22,0.01076923076923077,0.022828402366863905,0.022828402366863905,0.0,1.0188613355887457,0.8504456903249371,1.8693070259136828,30.32539022798486,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",31039,tandem
39.0,39.0,38,1.0,25.0,3,0.3,0,0.0,4.22,0.02435897435897436,0.022514792899408283,0.022514792899408283,0.0,1.4077082064347801,0.46977410022763433,1.8774823066624144,30.031898197451433,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",36547,tandem
39.0,39.0,17,2.1666666666666665,25.0,3,0.3,0,0.0,4.22,0.010897435897435899,0.022825443786982248,0.022825443786982248,0.0,1.0224851106348078,0.8645401301672954,1.887025240802103,30.32021939417151,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",27877,tandem
39.0,39.0,38,1.0,30.0,3,0.3,0,0.0,4.22,0.029230769230769234,0.022402366863905326,0.022402366863905326,0.0,1.542091759247622,0.4178167984287729,1.9599085576763948,29.866319884580346,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",36547,tandem
39.0,39.0,17,2.1666666666666665,20.0,3,0.3,0,0.0,4.22,0.008717948717948718,0.022875739644970413,0.022875739644970413,0.0,0.956690949681133,1.0047314796166993,1.9614224292978322,30.28107825498404,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",27877,tandem
39.0,39.0,21,1.7727272727272727,15.0,3,0.3,0,0.0,4.22,0.008076923076923077,0.0228905325443787,0.0228905325443787,0.0,0.9371609300548895,1.0398349025460434,1.976995832600933,30.262768162659075,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",31039,tandem
39.0,39.0,17,2.1666666666666665,15.0,3,0.3,0,0.0,4.22,0.00653846153846154,0.022926035502958582,0.022926035502958582,0.0,0.8883227490305223,1.227476974079824,2.1157997231103463,30.14891948712887,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",27877,tandem
