cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,rho_contact_mohm_cm2,edge_margin_mm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,recovered_busbar_light_25,effective_busbar_shading_25,optical_loss_rec25,total_loss_rec25,Pe,Pf_finger,Pf_busbar,Pc,P_shade,scenario_label,nodes,mode,elapsed_s,timestamp,sweep_key
182.0,182.0,102,1.766990291262136,20.0,12,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01289409491607294,0.01289409491607294,0.0,0.7414362205411829,0.5865696052685881,1.328005825809771,30.919312214474733,0.003223523729018235,0.009670571187054704,0.6417670839329002,1.2283366892014882,0.1512687251856939,0.03207903103296305,0.029823867762842834,0.37339798128708834,0.7414362205411829,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80221,tandem,1130.6,2026-08-09 18:47:22,wf20|p1.77|nbb12|wbb0.2|e1
182.0,182.0,102,1.766990291262136,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.00859606327738196,0.00859606327738196,0.0,0.6098288013350047,0.7230554914390173,1.3328842927740219,30.984589308491472,0.00214901581934549,0.006447047458036471,0.5432424287551334,1.2662979201941507,0.12879387183204277,0.08696922567898925,0.04578895748249777,0.46150343644548747,0.6098288013350047,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83289,tandem,1185.0,2026-08-09 18:48:16,wf20|p1.77|nbb8|wbb0.2|e1
182.0,182.0,102,1.766990291262136,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01074507909672745,0.01074507909672745,0.0,0.6774695639186382,0.5988955306417312,1.2763650945603695,31.032887812867806,0.0026862697741818625,0.008058809322545588,0.5941068553813548,1.193002386023086,0.1219117710031534,0.052202411270366934,0.03608198666403348,0.38869936170417735,0.6774695639186382,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81999,tandem,1186.1,2026-08-09 18:48:17,wf20|p1.77|nbb10|wbb0.2|e1
182.0,182.0,82,2.1927710843373496,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.008911967153725395,0.008615384615384617,0.008615384615384617,0.0,0.5407932908169844,0.9386870037037908,1.479480294520775,30.85424985707606,0.002153846153846154,0.006461538461538463,0.4743379834325128,1.4130249871363034,0.18004107654990875,0.09935665336961778,0.04635502455408716,0.612934249230177,0.5407932908169844,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82923,tandem,1259.1,2026-08-09 18:49:31,wf20|p2.2|nbb8|wbb0.2|e1
182.0,182.0,82,2.1927710843373496,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.008911967153725395,0.01076923076923077,0.01076923076923077,0.0,0.607769347321495,0.8481203136451921,1.4558896609666871,30.880709075771872,0.0026923076923076926,0.008076923076923079,0.5246289767328784,1.3727492903780705,0.20324976864791514,0.057972857119570474,0.036884756915551556,0.550012930962155,0.607769347321495,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82921,tandem,1274.6,2026-08-09 18:49:46,wf20|p2.2|nbb10|wbb0.2|e1
182.0,182.0,82,2.1927710843373496,20.0,12,0.2,10,0.0,4.22,10.0,1.0,0.008911967153725395,0.012923076923076924,0.012923076923076924,0.0,0.6745698099153568,0.7499799409387599,1.4245497508541165,30.89390649007316,0.003230769230769231,0.009692307692307693,0.5747587274089665,1.3247386683477262,0.19230486887849776,0.036304421746099345,0.030211075606306082,0.49115957470785665,0.6745698099153568,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84991,tandem,1084.2,2026-08-09 19:05:26,wf20|p2.2|nbb12|wbb0.2|e1
182.0,182.0,69,2.6,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.007499094312281125,0.008627943485086343,0.008627943485086343,0.0,0.49678523871979197,1.0506031943671317,1.5473884330869236,30.80449397848412,0.002156985871271586,0.006470957613814757,0.43034038043653106,1.4809435748036628,0.20464796758762877,0.11243810878430317,0.0467804956590385,0.6867366223361613,0.49678523871979197,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80761,tandem,1100.9,2026-08-09 19:06:37,wf20|p2.6|nbb8|wbb0.2|e1
182.0,182.0,69,2.6,20.0,12,0.2,10,0.0,4.22,10.0,1.0,0.007499094312281125,0.012941915227629516,0.012941915227629516,0.0,0.631143502696197,0.8402376477578744,1.4713811504540715,30.876337172286068,0.003235478806907379,0.009706436420722137,0.5312437681403389,1.3714814158982134,0.22316442696158015,0.040453281765168235,0.030070575548719333,0.5465493634824066,0.631143502696197,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81735,tandem,1040.6,2026-08-09 19:06:51,wf20|p2.6|nbb12|wbb0.2|e1
182.0,182.0,69,2.6,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.007499094312281125,0.01078492935635793,0.01078492935635793,0.0,0.5638608437428111,0.9513768545551283,1.5152376982979394,30.838991130270248,0.0026962323390894824,0.008088697017268448,0.4807117585524827,1.4320886131076112,0.22574752045646362,0.06415376306831214,0.03694743367183919,0.6245281373585134,0.5638608437428111,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84015,tandem,1186.4,2026-08-09 19:08:04,wf20|p2.6|nbb10|wbb0.2|e1
182.0,182.0,129,1.4,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.014020045888177755,0.010712474338847967,0.010712474338847967,0.0,0.7619144233103781,0.5869245361271427,1.3488389594375207,30.80617811353567,0.0026781185847119917,0.008034355754135976,0.6794118251805704,1.266336361307713,0.15341943355442897,0.043547231084739714,0.03561598830064991,0.35434188318732407,0.7619144233103781,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83299,tandem,765.5,2026-08-09 19:21:21,wf20|p1.4|nbb10|wbb0.2|e1
