cell,provenance,metric,unit,prev_phaseA,new_phaseB,delta,ref_hardcoded,model_new
"M10 (182x182mm, 132F/12BB, multi-probe 10/BB)",task-specified geometry; multi-probe added (probe artifact fix),Jsc,mA/cm2,18.32433668982319,18.324336700261686,1.0438494513209662e-08,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"M10 (182x182mm, 132F/12BB, multi-probe 10/BB)",task-specified geometry; multi-probe added (probe artifact fix),Voc,V,1.8997091288457824,1.8969420772053933,-0.00276705164038904,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"M10 (182x182mm, 132F/12BB, multi-probe 10/BB)",task-specified geometry; multi-probe added (probe artifact fix),FF,%,85.18451713986573,84.82113053804876,-0.3633866018169698,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"M10 (182x182mm, 132F/12BB, multi-probe 10/BB)",task-specified geometry; multi-probe added (probe artifact fix),PCE,%,29.65350533116638,29.48399913282913,-0.169506198337249,26.113,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"M10 (182x182mm, 132F/12BB, multi-probe 10/BB)",task-specified geometry; multi-probe added (probe artifact fix),shade,%,6.742374109407077,6.742374109407077,0.0,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"small (ASSUMED 20x20mm, 16F/2BB, 0.2mm BB)",UNVERIFIED (original GEO not found in repo),Jsc,mA/cm2,18.63968785031457,18.639687856926304,6.611735159367527e-09,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"small (ASSUMED 20x20mm, 16F/2BB, 0.2mm BB)",UNVERIFIED (original GEO not found in repo),Voc,V,1.914855613185571,1.9105369123589486,-0.004318700826622335,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"small (ASSUMED 20x20mm, 16F/2BB, 0.2mm BB)",UNVERIFIED (original GEO not found in repo),FF,%,84.91587776273747,84.21740319167813,-0.6984745710593359,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"small (ASSUMED 20x20mm, 16F/2BB, 0.2mm BB)",UNVERIFIED (original GEO not found in repo),PCE,%,30.308439101504803,29.991343031044217,-0.3170960704605861,26.762,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
"small (ASSUMED 20x20mm, 16F/2BB, 0.2mm BB)",UNVERIFIED (original GEO not found in repo),shade,%,5.136,5.136,0.0,,"Interlayer: Phase B lateral (Rs_j=5000.0 ohm/sq, Rc_j=0.100 ohm.cm2)"
